PU1S1,PU2S1,PU3S1,PU4S1,PU5S1,PU6S1,PEU1S1,PEU2S1,PEU3S1,PEU4S1,PEU5S1,PEU6S1,AU1S1,AU2S1,AU3S1,IU1S1,IU2S1,IU3S1,PU1S2,PU2S2,PU3S2,PU4S2,PU5S2,PU6S2,PEU1S2,PEU2S2,PEU3S2,PEU4S2,PEU5S2,PEU6S2,AU1S2,AU2S2,AU3S2,IU1S2,IU2S2,IU3S2,PU1S3,PU2S3,PU3S3,PU4S3,PU5S3,PU6S3,PEU1S3,PEU2S3,PEU3S3,PEU4S3,PEU5S3,PEU6S3,AU1S3,AU2S3,AU3S3,IU1S3,IU2S3,IU3S3,S1PU,S1PEU,S1AU,S1IU,SCEN1,SCEN2,SCEN3,SCEN_prod,Visual,Vis_max,Complete,PUS1_tot,PUS2_tot,PUS3_tot,PEUS1_tot,PEUS2_tot,PEUS3_tot,AUS1_tot,AUS2_tot,AUS3_tot,IUS1_tot,IUS2_tot,IUS3_tot,S1_tot,S2_tot,S3_tot,filter_MV,S_tot
7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,40,41,41,42,42,42,21,21,21,21,21,21,124,125,125,1,374
3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,8,3,1,1,18,18,18,17,18,18,9,9,9,8,9,9,52,54,54,1,160
7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6.5,7,7,7,2,2,2,8,3,1,1,39,41,41,42,41,42,21,21,21,21,21,21,123,124,125,1,372
5,6,6,6,7,6,7,7,7,7,7,6,5,6,5,6,7,7,7,5,6,5,6,7,5,5,5,4,5,5,6,6,6,6,5,6,5,5,5,5,6,6,6,6,6,7,7,6,6,5,5,6,5,5,6,7,5,7,1,2,1,2,1,0,1,36,36,32,41,29,38,16,18,16,20,17,16,113,100,102,1,315
7,6,6,6,7,7,7,7,7,6,7,7,7,5,7,6,6,7,6,6,5,5,6,5,6,4,6,4,5,4,5,4,5,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6.5,7,7,6,1,2,2,4,2,0,1,39,33,24,41,29,24,19,14,12,19,16,12,118,92,72,1,282
6,6,6,6,6,6,7,7,7,7,7,7,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,6,7,7,7,2,2,2,8,3,1,1,36,36,36,42,38,42,20,18,18,21,18,21,119,110,117,1,346
6,6,7,6,6,7,6,5,6,3,5,5,6,6,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,6,6,2,0,0,0,,,0,38, , ,30, , ,18, , ,18, , ,104, , ,0, 
6,5,6,5,6,6,6,6,5,6,6,6,5,4,5,6,6,6,6,6,7,6,7,7,6,5,5,5,6,6,6,6,6,6,6,6,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,6,6,5,6,2,2,2,8,3,1,1,34,39,24,35,33,25,14,18,12,18,18,12,101,108,73,1,282
6,6,6,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,6,6,6,6,5,6,5,5,5,3,5,6,5,5,5,6,5,5,4,2,2,2,2,2,6,6,4,2,5,5,3,3,3,3,3,2,5.5,5,5,5,2,2,2,8,3,1,1,33,35,14,28,29,28,15,15,9,15,16,8,91,95,59,1,245
7,6,7,7,7,6,7,5,7,3,4,7,7,7,6,6,6,6,6,6,7,7,7,7,5,5,6,7,7,7,7,6,7,7,7,7, , , , , , , , , , , , , , , , , , ,7,6,7,6,2,2,0,0,,,0,40,40, ,33,37, ,20,20, ,18,21, ,111,118, ,0, 
7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,6,7,6,7,7,7,7,7,7,7,7,6,5,6,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,40,39,40,42,42,42,21,17,20,19,21,21,122,119,123,1,364
6,6,5,6,6,6,6,4,6,3,4,5,6,5,6,6,6,6,6,6,5,6,6,6,6,5,5,3,4,5,6,5,6,6,6,6,5,5,5,6,5,5,5,5,4,4,5,3,5,5,5,5,5,5,6,4.5,6,6,2,2,2,8,3,1,1,35,35,31,28,28,26,17,17,15,18,18,15,98,98,87,1,283
7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,2,0,0,0,,,0,41, , ,42, , ,20, , ,21, , ,124, , ,0, 
5,5,5,5,5,6,6,5,5,5,5,5,6,6,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,6,6,2,0,0,0,,,0,31, , ,31, , ,18, , ,18, , ,98, , ,0, 
6,5,4,4,5,5,6,6,6,6,7,7,5,4,5,5,4,6,5,4,4,5,4,5,5,5,5,5,6,7,5,4,5,5,4,6,2,1,3,3,3,2,6,6,7,6,6,5,1,1,1,2,2,2,5,6,5,5,2,2,1,4,2,0,1,29,27,14,38,33,36,14,14,3,15,15,6,96,89,59,1,244
7,6,7,6,7,6,7,7,7,7,7,7,7,5,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,6.5,7,7,7,2,2,2,8,3,1,1,39,39,39,42,42,42,19,19,19,21,21,21,121,121,121,1,363
4,4,4,4,5,4,3,3,3,3,3,3,4,4,4,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,4,3,2,0,0,0,,,0,25, , ,18, , ,12, , ,9, , ,64, , ,0, 
6,5,6,4,5,6,7,6,5,7,6,6,7,6,7,7,5,7,6,5,6,7,6,7,6,5,5,5,5,5,7,6,7,7,6,7,7,5,5,6,6,7,6,5,5,5,5,5,7,6,7,7,6,7,5.5,6,7,7,2,2,2,8,3,1,1,32,37,36,37,31,31,20,20,20,19,20,20,108,108,107,1,323
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,42,42,42,21,21,21,21,21,21,125,125,125,1,375
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,42,42,42,21,21,21,21,21,21,125,125,125,1,375
6,6,6,6,6,7,7,7,7,7,7,7,7,6,7,7,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,7,7,2,0,0,0,,,0,37, , ,42, , ,20, , ,21, , ,120, , ,0, 
6,6,6,6,6,6,7,4,6,4,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,6,6,5,5,5,5,6,5,5,5,4,5,6,6,6,6,2,2,2,8,3,1,1,36,30,25,33,32,32,18,15,16,18,14,14,105,91,87,1,283
6,5,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,5,2,2,5,5,4,2,2,3,3,5,3,2,5,2,5,6.5,7,7,7,1,2,2,4,2,0,1,38,24,18,42,24,19,21,12,10,21,12,12,122,72,59,1,253
7,5,6,5,5,6,6,4,4,5,5,5,5,5,5,6,5,4,5,5,5,5,4,5,5,4,5,4,4,4,4,4,5,5,4,5,6,4,4,6,4,6,5,5,5,5,4,5,5,4,5,6,5,6,5.5,5,5,5,2,2,2,8,3,1,1,34,29,30,29,26,29,15,13,14,15,14,17,93,82,90,1,265
6,5,6,5,6,7,7,6,6,6,5,6,7,7,7,6,6,7,7,6,7,5,7,7,7,6,5,5,6,5,7,6,6,7,7,7,7,5,6,5,7,7,7,6,5,5,6,5,7,6,7,7,7,7,6,6,7,6,2,2,2,8,3,1,1,35,39,37,36,34,34,21,19,20,19,21,21,111,113,112,1,336
6,6,6,6,6,6,7,6,7,6,6,7,7,4,4,7,7,7,6,6,6,6,6,7,7,6,7,7,6,6,6,4,6,7,7,7,5,5,3,3,5,5,5,6,5,5,5,3,5,4,5,5,5,4,6,6.5,4,7,2,2,2,8,3,1,1,36,37,26,39,39,29,15,16,14,21,21,14,111,113,83,1,307
5,5,6,4,5,4,7,5,5,5,4,5,4,4,4,5,5,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,4,4,5,5,5,4,4,4,5,5,4,5,5,4,5,5,5,4,5,2,1,2,4,2,0,1,29,41,28,31,42,27,12,21,14,17,21,14,89,125,83,1,297
7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,7,7,7,7,7,6,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,1,2,2,4,2,0,1,40,41,41,42,40,42,21,21,19,21,19,21,124,121,123,1,368
7,6,6,6,7,7,6,7,7,7,4,7,7,5,7,7,4,6,7,6,7,7,7,7,7,7,7,7,4,7,4,5,7,7,6,4,7,6,6,6,7,7,7,7,7,7,4,7,7,7,7,6,6,6,6.5,7,7,6,1,1,1,1,0,0,1,39,41,39,38,39,39,19,16,21,17,17,18,113,113,117,1,343
6,5,5,6,6,6,6,7,5,7,6,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,6,6,6,6,6,6,6,6.5,7,6,2,2,1,4,2,0,1,34,40,41,38,39,41,21,21,18,18,21,18,111,121,118,1,350
5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,1,1,2,2,1,0,1,30,32,32,31,31,30,16,15,16,15,15,15,92,93,93,1,278
7,6,7,7,7,7,4,7,6,7,6,6,6,5,6,7,7,7,7,6,6,7,7,7,7,6,6,6,6,7,5,5,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,2,2,2,8,3,1,1,41,40,41,36,38,42,17,16,20,21,21,21,115,115,124,1,354
7,6,6,7,7,7,7,6,6,7,7,7,7,6,7,7,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,2,0,0,0,,,0,40, , ,40, , ,20, , ,21, , ,121, , ,0, 
7,6,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,40,42,42,21,21,21,21,21,21,123,125,125,1,373
6,6,6,6,6,6,3,3,1,1,1,1,2,2,2,5,5,5,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,6,1,2,5,2,2,2,8,3,1,1,36,12,30,10,30,30,6,15,6,15,15,6,67,72,72,1,211
6,5,5,3,6,6,7,6,7,3,5,6,6,5,6,6,6,6,4,5,4,5,4,6,3,5,5,6,6,5,5,4,4,5,5,5,3,3,3,2,2,3,6,5,5,4,4,5,4,3,3,3,4,4,5.5,6,6,6,2,1,2,4,2,0,1,31,28,16,34,30,29,17,13,10,18,15,11,100,86,66,1,252
6,5,5,5,6,6,5,4,4,4,3,4,5,4,5,5,5,6,6,6,5,6,6,6,5,4,5,4,4,5,5,4,5,5,5,6,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,5,5,6,5.5,4,5,5,2,2,2,8,3,1,1,33,35,30,24,27,26,14,14,14,16,16,16,87,92,86,1,265
6,5,6,4,5,6,7,3,6,4,7,7,6,4,5,6,4,6,5,5,4,4,6,6,6,7,6,7,6,5,6,4,6,7,7,6,2,6,4,4,6,6,5,6,6,7,5,5,6,4,6,6,6,6,5.5,6.5,5,6,2,1,1,2,1,0,1,32,30,28,34,37,34,15,16,16,16,20,18,97,103,96,1,296
6,4,6,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,7,5,7,6,6,7,7,7,6,6,6,6,6,6,6,7,7,7,6,5,5,3,4,5,6,6,6,6,4,6,5,4,5,6,5,6,6,6,6,6,2,2,2,8,3,1,1,33,38,28,35,38,34,17,18,14,18,21,17,103,115,93,1,311
6,6,6,6,7,6,7,4,7,5,7,7,7,7,7,6,4,7,7,6,7,6,6,7,7,6,7,4,7,7,7,5,7,7,7,7,7,6,7,6,7,6,6,6,6,6,6,6,7,6,7,5,6,5,6,7,7,6,2,2,2,8,3,1,1,37,39,39,37,38,36,21,19,20,17,21,16,112,117,111,1,340
5,5,4,4,5,6,6,6,6,4,6,5,6,6,7,7,6,6,5,5,6,5,6,7,7,6,7,4,6,5,6,6,6,7,7,7,4,4,3,3,3,3,6,4,4,4,6,5,4,3,3,3,3,6,5,6,6,6,1,2,2,4,2,0,1,29,34,20,33,35,29,19,18,10,19,21,12,100,108,71,1,279
5,5,5,5,5,6,6,5,7,6,7,7,6,6,6,6,5,6,6,6,5,5,5,6,6,6,7,5,6,6,6,6,6,6,5,6,1,1,2,2,1,3,2,1,2,2,3,1,1,2,2,1,1,2,5,6.5,6,6,2,2,1,4,2,0,1,31,33,10,38,36,11,18,18,5,17,17,4,104,104,30,1,238
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,5,4,4,4,4,5,6,5,6,5,5,5,5,5,5,5,5,5,7,7,7,7,2,2,2,8,3,1,1,41,41,26,42,40,32,21,21,15,21,21,15,125,123,88,1,336
6,5,5,4,5,6,5,5,4,3,5,4,6,5,5,6,6,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4.5,5,6,2,0,0,0,,,0,31, , ,26, , ,16, , ,16, , ,89, , ,0, 
7,5,4,6,5,6,7,6,6,4,6,7,7,6,6,7,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.5,6,6,7,2,0,0,0,,,0,33, , ,36, , ,19, , ,20, , ,108, , ,0, 
3,5,4,6,5,6,7,7,5,7,7,6,6,5,7,7,7,6,6,4,5,4,5,5,7,2,6,4,5,5,5,4,5,5,5,5,6,5,7,7,5,7,7,4,7,5,5,6,5,5,6,6,6,7,5,7,6,7,1,2,2,4,2,0,1,29,29,37,39,29,34,18,14,16,20,15,19,106,87,106,1,299
