PU1S1,PU2S1,PU3S1,PU4S1,PU5S1,PU6S1,PEU1S1,PEU2S1,PEU3S1,PEU4S1,PEU5S1,PEU6S1,AU1S1,AU2S1,AU3S1,IU1S1,IU2S1,IU3S1,PU1S2,PU2S2,PU3S2,PU4S2,PU5S2,PU6S2,PEU1S2,PEU2S2,PEU3S2,PEU4S2,PEU5S2,PEU6S2,AU1S2,AU2S2,AU3S2,IU1S2,IU2S2,IU3S2,PU1S3,PU2S3,PU3S3,PU4S3,PU5S3,PU6S3,PEU1S3,PEU2S3,PEU3S3,PEU4S3,PEU5S3,PEU6S3,AU1S3,AU2S3,AU3S3,IU1S3,IU2S3,IU3S3,S1PU,S1PEU,S1AU,S1IU,SCEN1,SCEN2,SCEN3,SCEN_prod,Visual,Vis_max,Complete,PUS1_tot,PUS2_tot,PUS3_tot,PEUS1_tot,PEUS2_tot,PEUS3_tot,AUS1_tot,AUS2_tot,AUS3_tot,IUS1_tot,IUS2_tot,IUS3_tot,S1_tot,S2_tot,S3_tot,filter_MV,S_tot
7,6,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,7,7,6,7,6,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,6,7,7,2,2,2,8,3,1,1,41,36,40,38,34,39,21,18,21,21,19,21,121,107,121,1,349
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,42,42,42,21,21,21,21,21,21,125,125,125,1,375
7,6,6,7,7,7,7,4,5,4,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,4,5,5,7,7,6,7,7,7,7,7,7,6,6,7,7,7,7,4,5,4,7,7,7,7,7,7,7,7,7,5.5,7,7,2,2,2,8,3,1,1,40,40,40,33,35,34,21,20,21,21,21,21,115,116,116,1,347
7,6,7,7,7,7,5,4,5,4,5,5,6,6,6,6,6,6,7,6,7,7,7,7,5,5,5,5,6,6,6,6,6,7,7,7,6,6,5,6,5,5,5,4,3,4,4,4,5,5,5,4,5,5,7,5,6,6,2,2,2,8,3,1,1,41,41,33,28,32,24,18,18,15,18,21,14,105,112,86,1,303
7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,41,42,42,21,21,21,21,21,21,124,125,125,1,374
6,5,5,6,6,6,5,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.5,6,6,2,2,2,8,3,1,1,34,36,36,38,36,36,18,18,18,18,18,18,108,108,108,1,324
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,8,3,1,1,36,36,36,36,36,36,18,18,18,18,18,18,108,108,108,1,324
6,6,6,6,6,6,6,3,6,3,6,6,6,6,3,6,6,6,4,4,3,3,3,5,4,3,4,3,3,3,6,4,4,3,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,8,3,1,1,36,22,36,30,20,36,15,14,18,18,11,18,99,67,108,1,274
6,6,6,5,6,7,7,6,7,5,6,6,6,6,6,6,6,7,6,6,7,7,6,6,6,5,6,5,6,6,7,7,7,7,6,6,6,5,5,6,7,7,6,6,6,6,6,5,6,6,6,6,7,7,6,6,6,6,2,2,2,8,3,1,1,36,38,36,37,34,35,18,21,18,19,19,20,110,112,109,1,331
6,6,4,5,6,4,7,7,7,5,6,6,4,4,6,7,4,7,7,4,5,2,5,6,7,4,7,4,7,7,6,4,6,7,4,7,5,4,2,4,5,4,7,7,4,2,5,6,3,4,3,2,3,7,5.5,6.5,4,7,1,2,2,4,2,0,1,31,29,24,38,36,31,14,16,10,18,18,12,101,99,77,1,277
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,42,42,42,21,21,21,21,21,21,125,125,125,1,375
7,6,6,6,7,6,7,6,6,7,7,7,6,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,6,7,7,7,2,2,2,8,3,1,1,38,40,41,40,39,41,20,20,21,21,20,20,119,119,123,1,361
7,6,4,7,7,7,7,7,7,4,4,4,7,7,7,7,7,7,7,6,7,7,4,7,4,7,7,7,7,4,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5.5,7,7,1,1,2,2,1,0,1,38,38,41,33,36,42,21,21,21,21,21,21,113,116,125,1,354
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,2,2,2,8,3,1,1,41,36,36,42,28,36,21,18,18,21,18,18,125,100,108,1,333
6,5,6,5,6,6,5,4,5,5,6,5,6,5,5,6,6,7,5,5,5,5,6,6,4,4,5,5,4,4,6,5,6,6,6,7,6,6,7,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,6,5,5,6,2,2,1,4,2,0,1,34,32,37,30,26,36,16,17,19,19,19,19,99,94,111,1,304
4,6,7,7,5,7,6,7,7,5,6,7,6,6,7,7,6,6,5,6,6,7,7,7,6,7,6,7,7,6,6,6,7,7,7,6,7,6,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6.5,6.5,6,6,2,2,2,8,3,1,1,36,38,39,38,39,41,19,19,21,19,20,21,112,116,122,1,350
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,2,2,2,8,3,1,1,30,30,12,30,30,12,15,15,6,15,15,6,90,90,36,1,216
7,6,7,7,7,7,6,6,6,3,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,3,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,3,7,7,7,7,7,7,7,7,7,6,7,7,2,2,2,8,3,1,1,41,41,41,35,37,37,21,21,21,21,21,21,118,120,120,1,358
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,6,7,7,7,5,7,5,3,5,5,5,6,6,5,5,5,5,7,7,7,7,2,2,2,8,3,1,1,41,41,39,42,40,30,21,21,17,21,21,15,125,123,101,1,349
7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,2,4,2,0,1,41,41,41,41,42,42,21,21,21,21,21,21,124,125,125,1,374
7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7, , , , , , , , , , , , , , , , , , ,7,7,7,7,2,2,0,0,,,0,41,41, ,41,41, ,21,21, ,21,21, ,124,124, ,0, 
7,6,7,6,7,7,7,5,6,4,5,5,7,7,7,7,7,7,7,6,7,7,7,7,6,5,7,6,6,6,7,7,7,5,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,2,2,2,8,3,1,1,40,41,41,32,36,42,21,21,21,21,18,21,114,116,125,1,355
7,6,7,7,7,7,7,6,6,4,7,7,7,7,7,7,7,7,7,6,5,5,5,7,7,7,7,5,7,7,7,6,7,7,7,7,5,4,4,5,5,5,5,5,5,5,5,3,5,5,5,4,4,4,7,6.5,7,7,2,2,2,8,3,1,1,41,35,28,37,40,28,21,20,15,21,21,12,120,116,83,1,319
7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6.5,7,7,7,2,2,1,4,2,0,1,39,36,24,42,36,24,21,18,12,21,18,12,123,108,72,1,303
7,5,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,5,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6.5,7,7,7,2,2,2,8,3,1,1,38,38,40,42,42,42,20,20,20,21,21,21,121,121,123,1,365
6,5,6,5,6,6,6,6,5,5,5,5,6,5,5,5,5,6,7,6,7,6,7,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,7,7,7,7,7,6,5,6,5,5,7,6,5,5,5,2,2,2,8,3,1,1,34,39,35,32,33,41,16,18,17,16,18,17,98,108,110,1,316
7,6,6,7,7,6,7,6,6,5,6,6,6,6,6,6,6,6,7,6,6,6,6,6,7,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,5,6,7,5,6,5,6,5,6,6,6,5,6,6,6.5,6,6,6,2,2,2,8,3,1,1,39,37,35,36,38,34,18,18,18,18,18,17,111,111,104,1,326
7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,2,2,2,8,3,1,1,41,41,41,42,42,42,19,20,20,21,21,21,123,124,124,1,371
7,6,7,7,7,7,6,5,6,5,5,6,7,6,7,7,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5.5,7,7,2,0,0,0,,,0,41, , ,33, , ,20, , ,21, , ,115, , ,0, 
6,5,5,5,7,7,6,6,5,4,5,7,7,5,6,7,6,7,6,5,5,7,7,7,6,6,6,5,7,7,6,5,7,7,7,7,7,6,6,6,7,7,6,7,6,6,7,6,6,5,7,7,7,7,5.5,5.5,6,7,2,2,2,8,3,1,1,35,37,39,33,37,38,18,18,18,20,21,21,106,113,116,1,335
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,42,42,42,21,21,21,21,21,21,125,125,125,1,375
5,5,5,5,5,5,6,4,7,3,5,7,5,4,4,4,4,5,4,4,4,4,4,4,4,4,6,3,6,6,5,5,4,4,5,5,4,5,4,5,4,5,5,3,5,3,6,6,4,4,5,5,5,6,5,5.5,4,4,2,2,2,8,3,1,1,30,24,27,32,29,28,13,14,13,13,14,16,88,81,84,1,253
7,6,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,6,7,6,7,7,7,6,7,6,6,7,7,6,7,7,7,7,6,6,7,7,6,7,7,7,6,6,6,6,7,6,6,6,7,7,7,7,7,7,2,2,2,8,3,1,1,41,40,39,41,39,38,20,20,19,21,21,20,123,120,116,1,359
7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,41,41,41,21,21,21,21,21,21,124,124,124,1,372
6,6,6,7,6,6,6,6,6,5,6,6,6,6,6,6,6,6,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,3,3,6,6,6,6,2,2,2,8,3,1,1,37,39,18,35,42,19,18,21,12,18,21,10,108,123,59,1,290
6,4,5,4,6,7,7,7,7,5,7,7,7,5,7,7,5,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.5,7,7,6,2,0,0,0,,,0,32, , ,40, , ,19, , ,18, , ,109, , ,0, 
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,42,42,42,21,21,21,21,21,21,125,125,125,1,375
7,5,7,6,6,7,7,7,7,4,7,7,7,6,6,7,7,7,6,6,6,6,6,6,7,7,7,6,7,6,6,6,6,6,6,7,5,5,5,6,5,6,4,4,5,5,6,4,4,5,5,3,3,5,6.5,7,6,7,2,2,2,8,3,1,1,38,36,32,39,40,28,19,18,14,21,19,11,117,113,85,1,315
6,5,6,5,7,7,7,4,7,3,5,7,6,4,5,7,7,7,6,6,5,5,7,7,7,4,6,3,7,7,5,5,7,7,7,7,5,5,5,5,6,6,5,3,3,3,3,3,5,4,5,5,4,5,6,6,5,7,2,2,2,8,3,1,1,36,36,32,33,34,20,15,17,14,21,21,14,105,108,80,1,293
6,5,4,5,7,7,6,5,6,6,6,5,6,6,7,6,6,7,6,5,7,6,7,7,6,5,6,6,5,5,7,6,7,7,6,6,6,4,5,5,4,5,5,5,5,6,5,5,6,6,6,7,6,7,5.5,6,6,6,2,2,2,8,3,1,1,34,38,29,34,33,31,19,20,18,19,19,20,106,110,98,1,314
4,4,4,5,4,6,6,4,6,4,6,6,5,3,5,5,4,5,5,3,4,4,4,6,6,6,6,5,6,6,5,3,4,5,5,5,7,6,5,6,6,7,7,7,6,6,6,6,7,7,7,7,6,6,4,6,5,5,2,2,2,8,3,1,1,27,26,37,32,35,38,13,12,21,14,15,19,86,88,115,1,289
6,6,6,5,6,6,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,5,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,8,3,1,1,35,35,36,38,39,36,18,18,18,18,18,18,109,110,108,1,327
7,6,6,7,7,7,7,6,7,6,6,6,7,7,7,7,5,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,7,6,2,0,0,0,,,0,40, , ,38, , ,21, , ,18, , ,117, , ,0, 
3,5,5,3,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,8,3,1,1,26,30,30,31,30,30,15,15,15,15,15,15,87,90,90,1,267
7,6,6,6,6,6,6,6,7,4,5,6,6,6,6,7,6,7,7,6,7,7,7,7,6,6,6,6,7,7,7,7,7,7,6,7,4,4,4,5,5,5,7,4,5,5,6,6,5,4,5,4,4,5,6,6,6,7,2,1,2,4,2,0,1,37,41,27,34,38,33,18,21,14,20,20,13,109,120,87,1,316
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,1,0,0,0,,,0,41, , ,42, , ,21, , ,21, , ,125, , ,0, 
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,0,0,1,41,41,41,42,42,42,21,21,21,21,21,21,125,125,125,1,375
4,4,4,4,4,6,6,5,6,5,6,6,5,5,5,5,5,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,4,6,5,5,2,2,1,4,2,0,1,26,32,12,34,36,9,15,18,6,16,18,6,91,104,33,1,228
7,6,6,7,7,7,6,5,6,6,6,7,7,7,7,6,7,6,7,6,6,7,6,7,7,6,7,7,7,7,7,7,7,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,2,2,2,8,3,1,1,40,39,41,36,41,42,21,21,21,19,18,21,116,119,125,1,360
